xbj,t,x,Q2,gpd_u,gpd_d
0.0001,-0.1,0.000184785,1.5,33.0133,23.1213
0.0001,-0.1,0.000184785,2,35.7476,25.0149
0.0001,-0.1,0.000184785,2.5,37.8239,26.4491
0.0001,-0.1,0.000184785,3,39.4971,27.6027
0.0001,-0.1,0.000184785,4,42.0978,29.3919
0.0001,-0.1,0.000184785,5,44.0838,30.7554
0.0001,-0.1,0.000184785,7.5,47.6246,33.1802
0.0001,-0.1,0.000184785,10,50.0911,34.8652
0.0001,-0.1,0.000190015,0.5,21.6509,15.1913
0.0001,-0.1,0.000190015,1,28.8335,20.2195
0.0001,-0.1,0.000190015,1.5,32.7859,22.9667
0.0001,-0.1,0.000190015,2,35.4949,24.8425
0.0001,-0.1,0.000190015,2.5,37.5517,26.2629
0.0001,-0.1,0.000190015,3,39.209,27.4052
0.0001,-0.1,0.000190015,4,41.7845,29.1768
0.0001,-0.1,0.000190015,5,43.751,30.5266
0.0001,-0.1,0.000190015,7.5,47.2565,32.9267
0.0001,-0.1,0.000190015,10,49.6981,34.5941
0.0001,-0.1,0.000195393,0.5,21.5214,15.1056
0.0001,-0.1,0.000195393,1,28.6429,20.0908
0.0001,-0.1,0.000195393,1.5,32.5597,22.8128
0.0001,-0.1,0.000195393,2,35.2437,24.6709
0.0001,-0.1,0.000195393,2.5,37.281,26.0777
0.0001,-0.1,0.000195393,3,38.9225,27.2089
0.0001,-0.1,0.000195393,4,41.4731,28.9629
0.0001,-0.1,0.000195393,5,43.4203,30.2991
0.0001,-0.1,0.000195393,7.5,46.8908,32.6746
0.0001,-0.1,0.000195393,10,49.3076,34.3246
0.0001,-0.1,0.000200923,0.5,21.3925,15.0204
0.0001,-0.1,0.000200923,1,28.4533,19.9626
0.0001,-0.1,0.000200923,1.5,32.3347,22.6598
0.0001,-0.1,0.000200923,2,34.9938,24.5003
0.0001,-0.1,0.000200923,2.5,37.0119,25.8935
0.0001,-0.1,0.000200923,3,38.6376,27.0136
0.0001,-0.1,0.000200923,4,41.1635,28.7502
0.0001,-0.1,0.000200923,5,43.0915,30.0729
0.0001,-0.1,0.000200923,7.5,46.5273,32.424
0.0001,-0.1,0.000200923,10,48.9195,34.0568
0.0001,-0.1,0.00020661,0.5,21.2642,14.9354
0.0001,-0.1,0.00020661,1,28.2646,19.8351
0.0001,-0.1,0.00020661,1.5,32.1109,22.5075
0.0001,-0.1,0.00020661,2,34.7453,24.3306
0.0001,-0.1,0.00020661,2.5,36.7443,25.7103
0.0001,-0.1,0.00020661,3,38.3544,26.8194
0.0001,-0.1,0.00020661,4,40.8557,28.5387
0.0001,-0.1,0.00020661,5,42.7647,29.848
0.0001,-0.1,0.00020661,7.5,46.166,32.1749
0.0001,-0.1,0.00020661,10,48.5339,33.7906
0.0001,-0.1,0.000212458,0.5,21.1364,14.8509
0.0001,-0.1,0.000212458,1,28.0769,19.7082
0.0001,-0.1,0.000212458,1.5,31.8884,22.3559
0.0001,-0.1,0.000212458,2,34.4982,24.1617
0.0001,-0.1,0.000212458,2.5,36.4781,25.528
0.0001,-0.1,0.000212458,3,38.0728,26.6263
0.0001,-0.1,0.000212458,4,40.5497,28.3284
0.0001,-0.1,0.000212458,5,42.4398,29.6243
0.0001,-0.1,0.000212458,7.5,45.8069,31.9272
0.0001,-0.1,0.000212458,10,48.1506,33.5259
0.0001,-0.1,0.000218471,0.5,21.0093,14.7667
0.0001,-0.1,0.000218471,1,27.8902,19.5819
0.0001,-0.1,0.000218471,1.5,31.667,22.2051
0.0001,-0.1,0.000218471,2,34.2525,23.9937
